RecordID,Date,Country,TemperatureAnomaly_C,CO2Level_ppm,ExtremeWeatherEvent,EconomicImpact_USD,PopulationAffected
07cecceb-69e6-47eb-a19b-34d6824cdea8,2019-11-17,India,-0.15,410.44,Drought,8630289.48,375036
a6e7e2a5-00ea-4af2-b151-a1a63386e436,2014-05-18,Australia,-0.03,376.37,Tornado,1379227.03,274952
6890cfe8-21d3-4c0d-9b6a-e543e308c06e,2002-04-15,Japan,0.55,362.97,Wildfire,1093567.72,4422930
ac61117f-9b84-4327-be46-67a8d84bca24,2013-10-13,India,-0.51,396.67,Flood,5260336.62,2122860
2df860a5-07e4-4832-a344-ae198276cdb8,2020-10-15,USA,1.78,367.59,Wildfire,4567592.01,2433756
ee9cf5ac-c292-4554-b1c5-c3c2ad68d417,2000-09-14,Russia,1.67,402.59,Flood,1146504.34,2259698
b30c5f7c-7625-49af-9f50-0bd1247a2eca,2008-05-06,France,1.11,359.2,Hurricane,8598469.3,3182851
21239a82-cacf-4d51-8cf5-5902abce7f91,2022-01-31,USA,0.05,383.61,Drought,3106828.88,2293836
c47f072c-e734-4781-b6c4-af60e900ae35,2017-11-10,France,1.93,390.54,Heatwave,4546552.47,145646
61544595-ba63-4572-83f9-cd737d2ba9c4,2016-11-28,USA,-0.22,366.36,Wildfire,7026303.57,448327
31f5d638-1d59-472c-a9fd-41e883be4a25,2006-11-22,USA,-0.79,412.2,Flood,2641272.94,2844197
056db5c5-a079-4fa5-917b-edc55e420e60,2017-08-31,Germany,0.32,360.51,Flood,5112372.97,1867257
87ab67e5-9087-4894-a682-94ff5b9a83e0,2006-09-13,India,1.94,351.72,Hurricane,3879456.01,476073
fb613441-a635-4905-b479-a502d7238076,2008-07-02,Germany,-0.01,402.19,Flood,6380389.59,2796407
7af9ba6f-b8aa-4c32-8979-b4e9e6ae64c3,2010-07-13,China,1.09,413.29,Wildfire,2422632.58,1776224
5edb43e8-9a7b-40b0-95f3-f093d5f3446d,2018-05-08,France,1.69,382.56,None,6580400.19,1197957
bc21e8b2-9aef-46e8-a42c-730a98ac3f0b,2020-04-12,Canada,1.99,416.55,Tornado,633900.96,3554866
a8eb78f1-83f8-4296-a693-41938c823b53,2018-05-04,USA,-0.41,361.65,Flood,9258488.23,1612221
ad4c57e3-f48f-4141-bdc5-130d2b5074bb,2010-03-31,Brazil,-0.43,366.68,None,9534338.73,1152756
2c6abd83-11bb-4080-bba2-0bc2a0bac7ab,2011-03-08,USA,-0.93,393.46,Tornado,9505097.47,1640197
5e1a2816-f077-4222-ad41-f39b879c4338,2008-10-22,France,1.09,387.27,None,1507262.55,3218715
36f6a596-e28b-4790-90ba-452f9190842d,2007-10-30,Australia,-1.52,394.66,Wildfire,1677406.7,1803739
19832054-3715-48de-8e56-6249bfc46e7a,2018-02-25,Brazil,1.88,365.95,Drought,1459154.46,1185941
617f4cea-57e8-4143-b269-016be02c93e3,2012-09-16,Australia,-0.09,388.87,None,7762421.73,2246483
9f824581-3088-468b-8df5-75009cfa4347,2013-03-04,Canada,0.6,377.81,None,2473114.36,223275
34ac17f6-e7b1-4219-886c-a3c72ff84faf,2011-09-05,Japan,1.74,404.0,Flood,2816078.31,3237355
ff27adbe-1f44-4654-96f4-e6800200274c,2011-12-25,Germany,0.71,350.4,Tornado,2156886.88,3546921
3eb55a07-27fb-4693-a015-d9d3572c11ef,2003-04-30,Russia,1.8,371.26,Heatwave,9233970.54,2596997
6c680021-a87f-4f0d-a7d8-bc187612290c,2002-10-22,Australia,-1.32,391.13,Flood,2126921.2,3434569
990a68c3-df7c-41bb-8a0c-b89b9ad0d88a,2009-07-23,China,0.43,372.0,None,4945246.37,2097644
c2ed5571-1882-4057-bb27-e6a02f726a9a,2018-12-24,China,1.16,396.97,Tornado,4744553.78,2442540
555646dd-79b2-46d4-a1db-e1d8ce778aa4,2008-01-10,Russia,0.4,366.89,Heatwave,7194192.33,109226
7ba566cd-0cba-4da4-b11f-7bfcfe081a85,2005-04-13,Germany,1.32,397.09,Heatwave,1757404.94,251088
afc4dc7f-3ac5-46e7-baa0-28b4992f547e,2011-05-18,Canada,-0.25,388.49,Drought,6134069.19,295356
4be8567b-ca1e-4013-9c6d-ee4177aba195,2002-04-08,Japan,1.88,367.53,Drought,2349581.49,1996973
d38a6583-2fee-496b-80c3-d834fb87421e,2000-03-27,China,-0.52,357.56,Drought,3279832.35,4240546
f5fb05ec-1619-4297-94e2-2bcaa5118801,2010-06-29,USA,-0.29,414.26,Wildfire,63531.35,34945
7b9fd74c-e1a6-45e4-a61a-c805d88a5677,2000-06-10,Japan,-2.0,356.19,Drought,2671872.42,4985959
8e1da927-d2a9-4c41-b7ad-d09afb95951a,2002-04-25,Canada,-0.29,366.06,Tornado,5315324.49,47368
a8828002-1f7a-429d-964a-d6d84f143a58,2010-02-18,Brazil,0.14,400.66,Heatwave,9318240.52,1896752
07c8e57d-bea8-4fb1-8bd5-865f2c170048,2009-05-08,China,0.81,390.94,Heatwave,3650188.88,4124761
48f708f5-4f0f-4493-902b-2ea0e0fd58be,2005-01-01,China,-1.59,374.66,Heatwave,2424817.69,3714606
f104a3f1-612f-40f4-847a-160fb74ba945,2004-12-20,Japan,-1.62,399.89,Heatwave,5529074.52,3337570
9f6bd782-8a95-48ad-8ce6-72d8921b12a5,2009-06-07,USA,-1.3,371.14,Tornado,79511.33,3440074
7c29d763-9810-4eed-8252-d35832fe16c3,2011-12-22,France,1.63,416.64,Heatwave,1402325.57,4985837
2172f033-e4a7-4cf1-a86c-5282176f490b,2017-04-17,Brazil,0.4,385.14,Hurricane,100096.15,4080871
41ac4fef-b261-4697-8ddd-70f3bc779f90,2017-12-19,France,-0.4,407.06,Heatwave,7839929.95,2630661
c7b52377-d900-4028-a8e2-060d702cb650,2018-08-29,China,1.27,363.31,Tornado,1515947.46,2785115
8251b159-579d-498f-8aa0-10085ee81a9c,2011-03-29,Russia,1.5,380.91,Tornado,4535166.45,1534691
1583782b-b063-4932-bea5-df2fa2d35c01,2009-12-28,India,0.93,357.75,Flood,4200152.83,2088114
f4ce7f71-83fa-4569-94c9-fc0b6f8f2aab,2011-10-03,Brazil,0.32,385.86,Heatwave,4924403.66,3456981
1329e137-1dc0-4bb7-afe3-6cfde03ac6ac,2014-08-25,USA,0.1,360.71,Drought,7579009.67,4135745
4bd7e97d-e5cc-4ea3-bd1a-f228ce8c7ca8,2002-02-13,Brazil,-0.71,371.24,Wildfire,3430138.47,1001447
326d5537-249a-44b1-b614-607851ac6875,2014-02-17,Russia,-0.53,410.79,Wildfire,6345458.33,1538430
8b6bb60e-703d-4ee7-b803-eac5546c086d,2023-09-24,France,-0.16,380.54,Heatwave,4596783.17,1376782
ee4e587e-4db4-467d-a08c-379b43564fc7,2000-06-01,France,-0.74,361.21,Drought,1541743.49,2070684
2abc0e03-9a21-4923-982d-5f914cd57817,2008-01-16,Japan,0.51,416.91,Tornado,2781410.86,3928557
2fa31e95-370a-41be-b597-c871b46aef8f,2023-05-13,India,0.72,401.56,Flood,1839706.03,3355106
f5d155df-529d-4839-9d4c-1d84f9917e1f,2000-08-29,Brazil,-1.51,378.16,Drought,4704374.43,335958
2d88dbca-cf7d-424e-9dd9-299c5a383a8f,2008-02-09,Australia,-1.47,405.4,Heatwave,3571992.35,1205518
77d5f499-9c28-45ad-bac5-851edbda96f2,2021-10-08,Australia,-1.85,397.46,Wildfire,9760639.48,1848060
58381955-64e3-4d9b-9933-4f4dd848df83,2016-05-13,Canada,-1.76,368.38,Wildfire,8293895.88,2724712
267bf706-076f-43a1-be03-916507dbb170,2014-05-12,China,-1.45,357.24,Flood,6956128.81,1536416
f8cf0181-a075-464c-bdfc-1067ef742fde,2016-05-04,Germany,1.83,407.94,Tornado,9868927.71,1207491
b22abe36-acc7-45a1-bbeb-f587ab944484,2002-03-31,Canada,1.9,400.7,Hurricane,1985918.84,2610721
7fb1c6ee-5ed0-4d15-8e59-09ed491f3cff,2008-02-24,USA,1.9,407.94,None,6312691.14,3539775
6752cecd-7182-44d8-98a1-ed360e83d9ab,2020-03-16,Germany,0.57,361.05,Flood,7971630.03,174733
c44b092e-1861-4217-a577-b922c662b1fa,2022-01-08,Brazil,-1.41,350.46,Drought,8450393.83,3949321
a761858d-2ea3-494e-ab8d-49887461b49e,2012-08-03,Germany,0.1,411.62,Tornado,1629273.75,3573433
072e21f6-af0d-4d15-8fc1-8b1329df6114,2004-10-15,Germany,-0.61,361.99,None,8265474.67,1132520
f3b44f1b-e609-494d-9fa3-d6372dc3e6cb,2005-12-29,Australia,0.69,406.84,Wildfire,540109.89,1239850
386bb588-9512-4bee-8738-154ce15eac22,2009-11-18,Australia,1.14,369.89,Drought,8356374.15,1220343
a3840466-c5df-4581-9dd5-8e90bc919185,2019-12-26,Canada,-0.43,393.34,Tornado,612041.48,322572
f5615b0f-78f6-4a86-b4e4-9bd4b35f8430,2015-06-16,India,-0.63,416.88,Hurricane,3807300.8,4676572
12f4d669-a286-41bf-94f8-76abe3a8ba73,2022-05-07,Brazil,-0.26,366.88,Heatwave,3746466.63,3872354
7884bcf9-608b-44e1-834f-95633890cc14,2015-10-10,Canada,1.15,406.47,Wildfire,2647791.6,3118104
5101d161-8cb1-432d-8e89-b27aad4cb6c4,2016-11-14,India,0.63,351.37,Heatwave,7200685.09,1344843
a1d35734-31bb-4cb6-89ac-832c164588ea,2020-12-26,USA,1.26,354.97,Wildfire,3454841.85,3340738
2d3343c6-9bb0-425f-9633-4e9efa2f1646,2017-01-22,India,1.59,398.59,Hurricane,4910032.35,3093883
e4d002ca-18e1-463e-827d-abac5055b072,2004-10-26,Japan,-1.24,408.36,Heatwave,2068148.05,817828
68a9047c-97bd-4bbb-899c-e2754aa60032,2001-12-14,Canada,-0.76,387.43,None,9733522.41,3712057
eca595f5-a231-4cbc-a81d-431d7bf475d5,2023-11-28,Japan,-0.66,388.16,None,6333584.42,1467881
55370ee3-80ab-4b87-b9d6-5020ecbf3224,2002-06-16,Canada,1.81,418.39,Wildfire,1523465.93,2827052
7891660a-3a5b-49ec-8ef5-77e638588fc9,2017-08-05,China,-0.39,360.34,Hurricane,4184612.36,3121751
47fd7bf5-1680-4d6a-9bf2-5511f9b189df,2003-12-21,France,-0.75,394.87,Heatwave,9952987.16,3306588
f26e1e17-b42b-4d87-b640-928d9b802cea,2021-07-17,China,-0.8,376.04,Flood,4201054.66,1711755
6cee90af-6dd3-44e5-9878-f1e3e5941272,2019-06-07,Brazil,0.54,367.76,None,7857749.73,1373059
bade368c-1e1a-45c2-8abe-59643c60445c,2000-05-21,Japan,1.83,408.76,Wildfire,4142954.2,3496930
7787b671-69ed-4506-bdf7-52d370b7ff91,2014-03-09,Japan,0.74,412.96,None,8383645.2,3994306
44ef1403-ab3b-44f4-9275-758917cb4b0e,2010-03-08,Brazil,0.02,361.46,None,9928086.68,2076107
7996976f-7afa-4151-b1ca-2537794f259b,2023-04-04,India,-1.07,406.38,None,3711655.47,11257
15bdf690-2163-4534-a937-6435c2aac4fd,2020-03-24,Russia,-0.14,391.91,None,3718824.08,353065
0b290998-2923-4e32-843e-9888a7a3e70d,2023-08-23,Brazil,1.87,406.15,Tornado,7208942.42,2266836
73d959f4-f82f-44b3-b8aa-5ef51ed2d8e3,2020-04-04,Australia,-0.08,350.21,None,3735017.27,574537
4a30f8e8-65f2-413a-bf7c-7d4413b1cb14,2008-12-26,Germany,-1.76,416.62,Hurricane,3070388.94,4675619
4f36a434-c056-4a50-bfa0-a7d66b528bb1,2003-03-02,Brazil,-1.73,374.95,Flood,4560345.36,680820
ae559ca5-be45-4bf7-a084-7f1f62a8d94d,2010-01-11,Brazil,-0.82,412.58,Hurricane,5659871.11,1647605
2bede56c-25b6-4e45-a1a7-4f92bd880df4,2006-05-11,China,-0.17,355.22,Wildfire,858118.82,4338303
f3c68ad4-885b-416b-82ef-68a081bbc015,2011-08-29,Australia,-0.55,364.18,Hurricane,6723521.11,4889462
6c2d6a44-af2f-4e6e-9308-6185fa216360,2022-08-30,China,-1.73,417.83,None,4026086.81,3447978
61428688-7973-4f45-9d24-496021027918,2005-12-17,Brazil,-0.03,402.17,Hurricane,4032075.65,2969907
2c0b63e4-aba8-4b3f-a4e3-1ccfa98d2148,2006-12-16,Russia,0.64,410.38,None,1832543.63,3723381
c17186dd-b98d-4204-ad75-19dcda87ee61,2023-05-19,France,-1.2,378.28,Wildfire,6052332.63,1857942
95157d20-1a54-433d-a080-4263b06b3d3a,2020-09-10,China,-1.14,362.32,Tornado,8511771.1,4383526
d8501def-b406-45f1-a46c-9c5e2e98203e,2014-08-14,Germany,-1.96,417.29,Flood,5690674.04,3594258
c37cb435-17d9-4116-94bc-ecebbab639aa,2013-02-27,India,0.08,394.59,Wildfire,9584423.0,4880813
b4c090b6-9e6c-47f7-b9a9-207bfcc50a9c,2023-04-29,Russia,0.82,405.78,Hurricane,727065.93,126090
338d162f-57f4-4acc-bfaa-024a8a664d11,2004-07-23,Canada,-1.47,369.52,Hurricane,1472998.37,4826609
63cf5279-69c2-4c64-bca1-b68fef570553,2004-01-11,Canada,0.99,377.75,Hurricane,8338322.63,2422579
6f9e2771-d864-425f-b468-98fa91fa8af1,2021-08-01,India,-0.41,398.62,Hurricane,5609775.83,2919235
39a321f6-4ab7-4875-ae23-97e8d1623bc9,2005-10-18,USA,-1.97,381.76,Heatwave,8284270.73,4154282
5fd083fd-e4a4-45f8-8e8f-a0ba352cd466,2013-03-06,China,0.84,380.16,Wildfire,1912328.46,3409840
bdfe979d-f2d2-43fd-b937-8d30bb8881c2,2005-03-10,China,0.12,408.59,Flood,876787.99,75430
24f2bb58-c91c-46e2-86e3-61ae57d03f68,2011-10-14,Canada,-0.76,363.66,Flood,3837008.68,655084
fd554ff0-40f5-4196-b93b-03e13d0ab94d,2010-09-20,Japan,-1.16,409.28,Tornado,7364731.13,71748
