RecordID,Date,Country,TemperatureAnomaly_C,CO2Level_ppm,ExtremeWeatherEvent,EconomicImpact_USD,PopulationAffected
403bb991-306b-4f4e-b6fb-f50499707463,2012-07-07,Japan,-0.83,403.38,Flood,3166829.59,4307167
8565723d-4976-46a0-a457-be91588f6d52,2015-05-11,USA,0.59,406.81,None,4666222.02,1467087
5398020a-d753-4ac7-a498-9e4c751d7456,2019-09-15,France,1.49,362.4,None,6361241.48,2726174
82bc5f18-6536-4926-9adb-23da7994c4e3,2013-08-11,Australia,-1.83,373.62,Hurricane,9320971.34,1744405
2973b4af-3c62-48b5-878b-a434663d82d6,2000-10-04,Russia,-0.25,351.57,None,6722070.73,3830691
f70d65eb-eaa0-4d17-8bad-aa645000ed7e,2009-10-08,USA,-0.44,362.43,Flood,9104701.26,4282201
56616177-6bc3-440f-b5d4-34015e56df9e,2008-01-11,France,-1.46,365.36,Drought,9256684.34,3120634
5f9a0555-f362-4a42-9813-652e401a805b,2022-03-08,France,-0.54,400.1,Heatwave,9502577.04,944875
d85a1ae7-e73f-4920-850b-d73dd81f88d2,2015-10-19,USA,-0.09,404.02,Flood,4478513.95,3898101
1de1965c-c7e1-489d-9e7b-85450dbe2971,2016-07-03,Japan,0.61,374.62,Wildfire,643151.01,2294169
5ffd3df8-d6b6-44ad-9945-1e0f471ef7cc,2019-06-06,USA,-0.8,404.43,Hurricane,6613872.09,345831
8de62772-eca6-4a91-b8ac-748cf2a9949d,2022-10-04,France,1.79,376.95,Tornado,3238640.08,793004
8010abe2-23fe-4c99-9e78-9fea5e95d7fd,2000-06-15,France,-0.81,372.99,None,614767.66,3787759
64c0fbc4-5acf-4543-a2d6-5b9a879cffbd,2004-03-04,India,0.76,352.18,Hurricane,8585733.77,2374763
19a3d5f1-c671-4b85-8763-a5ee79d16150,2011-04-04,Canada,1.31,404.49,Flood,1626669.31,2776298
1981248a-e940-4a53-a355-e91fa8427fb4,2017-01-31,China,1.92,412.02,Tornado,8231149.53,2948574
ae813f2c-88b7-4405-be85-c722b278b68a,2016-12-24,France,-1.45,398.26,Heatwave,3524782.68,4071751
5873597b-187e-4066-b293-8a252fe9dd5f,2021-02-01,Canada,-0.93,381.27,Tornado,5587624.95,3550021
6945e718-08cb-44c3-b4ee-2a9e5197ac6d,2017-09-21,Australia,-1.21,412.0,Hurricane,8638322.08,241650
0249e264-d8ff-4f33-9cbf-8b8c860ceaf9,2000-08-01,Japan,-1.94,407.03,Drought,4902404.9,3535620
c7ca88d5-e9b8-46b5-9345-8153d20f6137,2003-06-30,China,0.3,391.16,Flood,9520178.84,2131173
b1031479-32e9-4f15-ab3e-9c729a5c41b6,2015-04-30,Germany,0.8,395.41,Drought,9065138.33,1146921
42d824d0-bf9e-452d-8d8a-de5ade4dd3e2,2016-12-27,Germany,-1.55,377.72,None,9309308.68,1932099
f3e6bf3e-239d-4b54-b18e-d6c84f85863c,2020-12-15,India,-0.64,368.46,Flood,2783168.39,2662809
26dca3eb-f3d1-483c-965a-dbb08305fc9e,2007-05-02,USA,-0.48,375.7,Flood,1135123.65,116033
9357f622-4359-4ba5-ac44-a1bdf2e2a376,2009-07-07,Russia,-1.87,363.25,Hurricane,6325762.88,1335961
f3523b13-b5ca-4f47-84ca-9c758441c20b,2018-01-27,Russia,-0.05,373.9,Flood,2995617.64,708977
a424cf10-f96d-43b6-bd31-ad60947306f6,2009-07-28,Brazil,1.39,413.96,Wildfire,6292063.89,3722934
066df735-3c2f-4177-9198-8ea07953eaee,2003-01-28,Russia,-1.9,408.13,Drought,7494679.89,522520
38bf676a-e854-4dcb-949f-a03e913c3b43,2021-11-18,Russia,1.92,414.29,Heatwave,5086064.1,206833
d6ba1cfc-19ae-46c7-9c17-be4086a05f47,2004-12-08,USA,-1.25,399.33,Wildfire,4318970.69,3674615
12bc7c60-e6ed-4b23-a989-b5fb22330cdf,2021-05-27,Brazil,-0.16,369.91,Tornado,110502.49,1402775
3f4805ae-7203-45db-a4a2-78f7b7fc6858,2010-03-15,Australia,0.37,408.25,Heatwave,6901376.11,149766
3c1676a3-b011-4abc-8477-240bf2a6bca5,2020-06-10,Australia,-0.86,402.78,Wildfire,5800436.56,2630824
206b32b6-ef88-4dba-a247-40df2138551b,2011-05-25,Russia,1.72,417.51,Drought,1591854.57,3423122
a6e1156e-c562-4b95-a193-39fe281e8ba8,2015-09-25,Australia,0.57,353.91,Hurricane,7524005.07,2117259
8b5fe882-4769-4ede-9b69-9b50aba8fb64,2013-02-16,USA,-0.02,362.02,Flood,9402659.86,753516
6d324153-ffe3-45a6-9fc8-c5525816887c,2020-09-16,Brazil,-0.14,391.33,Flood,5684284.33,1815973
831679fb-1db2-4d66-b7d5-5ba62a5ce94a,2016-03-17,Japan,0.71,415.76,Wildfire,3536613.24,4257380
2ba0f315-c3eb-48fb-8636-049ca9dbb4a6,2022-08-07,France,-0.93,412.62,None,6305398.49,893749
a07e9f64-c439-4e01-a147-f1f406fc9721,2001-05-15,Canada,0.58,367.91,Wildfire,32566.89,2601062
94406f2b-92ae-4382-9882-f9a78883ced9,2001-11-22,Brazil,1.43,395.11,Drought,3451344.53,2176646
631ade1e-af90-4cf8-871c-b09d4a3c35dc,2021-10-20,India,-0.18,398.9,Flood,8383882.92,1279297
8c33931f-7433-42e1-8226-d74e964c06d6,2014-02-28,China,-1.22,386.44,Heatwave,5905971.03,1297985
ac25144c-c718-4ef4-b073-0bfcbd3e3f4f,2006-01-09,Brazil,0.1,371.98,Heatwave,8622501.55,2166898
bbfbf2e4-6a26-4972-8031-8aa394ec8993,2016-11-11,Russia,1.62,385.58,Hurricane,1392177.84,4506061
daf7eca9-1b21-4139-9580-039dd8acbd01,2009-10-06,Canada,0.1,400.83,Drought,904215.52,1644297
f91062ea-1df0-4a8f-a171-3fa179e03db5,2005-05-04,Canada,-0.62,376.16,Wildfire,4889025.42,1138070
11426f1e-2d40-4a57-adb5-8c69d74d47b8,2021-06-25,China,-0.22,396.92,Tornado,845976.12,987574
8d745f74-7d94-49b5-8fd6-ffb099455a30,2017-07-03,Australia,0.61,391.39,Flood,137308.86,82242
5c97b936-75a5-40f5-a5f2-7f1c583fd428,2007-10-22,Germany,-1.67,387.49,Hurricane,6520260.16,4731926
7c43d071-a0f5-4716-b909-51ff8b209cee,2021-01-28,Brazil,-0.37,419.17,None,3438485.37,3024069
